Sun Mar 15 16:19:44 2015,v1large,v2large,diff_large(FRA),,v1small,v2small,diffsmall(FRA),,Sun Mar 15 01:40:33 2015,largev1,largev2,diff_large(ASIA),,small_v1,small_v2,diff_small(ASIA),,,large_v1,large_v2,difflarge(LOC),,Small_v1,Small_v2,diff_small(LOC),,largev1(CA),largev2(CA),difflargeCA,,smallv1CA,smallv2CA,diff
number_of_requests,mean_request,mean_request,,,mean_request,mean_request,,,number_of_requests,mean_request,mean_request,,,mean_request,mean_request,,,number_of_requests,mean_request,mean_request,,,mean_request,mean_request,,,mean_request,mean_request,,,mean_request,mean_request,
143,15.669,13.056,2.613,,13.635,11.854,1.781,,143,290.156,268.789,21.367,,292.903,290.1,2.803,,143,46.235,40.621,5.614,,39.405,38.918,0.487,,154.107,156.808,-2.701,,146.21,149.239,-3.029
145,14.65,12.848,1.802,,13.369,12.069,1.3,,145,290.119,268.654,21.465,,292.816,289.94,2.876,,145,47.762,40.881,6.881,,42.522,38.621,3.901,,153.979,156.809,-2.83,,146.136,148.691,-2.555
147,14.37,14.664,-0.294,,16.18,13.746,2.434,,147,290.178,267.59,22.588,,293.035,289.642,3.393,,147,40.28,38.788,1.492,,42.83,37.467,5.363,,154.121,157.041,-2.92,,146.21,148.511,-2.301
149,15.46,13.671,1.789,,14.046,13.575,0.471,,149,290.263,266.619,23.644,,293.051,289.671,3.38,,149,38.556,35.66,2.896,,42.921,38.911,4.01,,154.122,156.801,-2.679,,146.297,148.669,-2.372
151,14.315,14.399,-0.084,,13.876,12.32,1.556,,151,290.095,266.646,23.449,,292.875,289.863,3.012,,151,48.142,39.88,8.262,,44.463,35.941,8.522,,154.093,156.808,-2.715,,146.228,148.905,-2.677
153,17.969,14.294,3.675,,13.906,12.153,1.753,,153,292.85,266.545,26.305,,292.906,289.828,3.078,,153,41.904,34.854,7.05,,43.381,34.201,9.18,,154.327,156.247,-1.92,,146.3,148.774,-2.474
155,15.432,15.082,0.35,,15.089,13.187,1.902,,155,290.205,266.554,23.651,,292.938,290.493,2.445,,155,47.91,32.59,15.32,,44.257,37.358,6.899,,154.014,148.486,5.528,,146.265,148.96,-2.695
157,17.471,13.694,3.777,,14.551,13.658,0.893,,157,290.164,266.674,23.49,,293.009,289.823,3.186,,157,51.572,40.105,11.467,,37.666,34.997,2.669,,154.158,148.545,5.613,,146.222,148.727,-2.505
159,14.398,12.723,1.675,,15.295,13.114,2.181,,159,290.087,266.652,23.435,,292.991,290.007,2.984,,159,49.089,39.886,9.203,,34.536,34.811,-0.275,,154.289,148.386,5.903,,146.423,148.862,-2.439
161,15.93,13.364,2.566,,13.069,12.243,0.826,,161,290.204,312.771,-22.567,,292.968,289.561,3.407,,161,48.353,41.051,7.302,,40.028,37.303,2.725,,153.867,148.632,5.235,,146.394,148.854,-2.46
